"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"54907","ENSG00000273792.1",0,0,0,0,0,0,0
"54908","ENSG00000273796.1",0,0,0,0,0,0,0
"54909","ENSG00000273797.1",52,132,91,96,185,25,66
"54910","ENSG00000273798.1",0,0,0,0,0,0,0
"54911","ENSG00000273800.1",0,0,0,0,0,0,0
"54912","ENSG00000273801.1",0,0,0,0,0,0,0
"54913","ENSG00000273802.1",4873,637,1057,190,2567,286,6968
"54914","ENSG00000273804.1",0,0,0,0,0,0,0
"54915","ENSG00000273805.1",0,0,0,0,0,0,0
"54916","ENSG00000273806.1",0,0,0,0,0,0,0
"54917","ENSG00000273809.1",0,0,0,0,0,0,0
"54918","ENSG00000273810.1",0,0,0,0,0,0,0
"54919","ENSG00000273811.1",0,0,0,0,0,0,0
"54920","ENSG00000273812.1",1,8,8,12,7,5,6
"54921","ENSG00000273813.1",0,0,0,1,0,0,0
"54922","ENSG00000273816.1",6,5,7,2,5,2,0
"54923","ENSG00000273817.1",0,0,0,0,0,0,0
"54924","ENSG00000273818.1",1.5,0,1.4,0,1,0,1
"54925","ENSG00000273819.1",0,0,0,0,0,0,0
"54926","ENSG00000273820.1",10,54,115,186,97,121,165
"54927","ENSG00000273821.1",2,3,1,0,1,1,0
"54928","ENSG00000273823.1",0,0,0,0,0,0,0
"54929","ENSG00000273824.1",21,262,119,139,38,39,18
"54930","ENSG00000273825.1",0,0,0,0,0,0,0
"54931","ENSG00000273826.1",0,0,0,0,0,0,0
"54932","ENSG00000273828.1",0,4,2,0,0,3,0
"54933","ENSG00000273829.1",0,0,0,0,0,0,0
"54934","ENSG00000273830.1",0,0,0,0,0,0,0
"54935","ENSG00000273832.1",0,0,0,0,0,0,0
"54936","ENSG00000273834.1",0,0.75,0,0,1.77,0.72,0.86
"54937","ENSG00000273835.1",0,0,0,0,0,0,0
"54938","ENSG00000273836.1",0,0,0,0,0,0,0
"54939","ENSG00000273837.1",7,99,10,31,63,19,22
"54940","ENSG00000273838.1",0,0,0,1,0,0,0
"54941","ENSG00000273840.1",0,0,0,0,3.02,1.01,0
"54942","ENSG00000273841.3",2506.8,2954.21,2767.95,2672.58,2561.02,1748.28,1790.49
"54943","ENSG00000273842.1",0,0,0,0,0,0,0
"54944","ENSG00000273844.1",0,0,0,0,0,0,0
"54945","ENSG00000273846.1",0,0,0,0,0,0,0
"54946","ENSG00000273848.1",0,0,0,0,0,0,0
"54947","ENSG00000273849.1",0,0,0,0,0,0,0
"54948","ENSG00000273851.1",0,0,0,0,0,0,0
"54949","ENSG00000273853.1",0,0,0,0,0,0,0
"54950","ENSG00000273854.1",0,0,0,0,0,0,0
"54951","ENSG00000273855.1",15,35,7,23,26,51,87
"54952","ENSG00000273857.1",0,0,0,0,0,0,0
"54953","ENSG00000273858.1",0,0,0,0,0,0,0
"54954","ENSG00000273860.1",0,0,0,0,0,0,0
"54955","ENSG00000273862.1",0,0,0,0,0,0,0
"54956","ENSG00000273863.1",0,0,0,0,0,0,0
"54957","ENSG00000273866.1",0,5,0,0,0,0,0
"54958","ENSG00000273868.1",0,0,0,0,0,0,0
"54959","ENSG00000273870.1",0,0,0,0,0,0,0
"54960","ENSG00000273872.1",0,0,0,0,0,0,0
"54961","ENSG00000273874.1",0,0,0,0,0,0,0
"54962","ENSG00000273876.1",0,0,0,0,0,0,0
"54963","ENSG00000273877.3",0,0,0,0,0,0,0
"54964","ENSG00000273878.1",0,0,0,0,0,0,0
"54965","ENSG00000273879.1",0,0,0,0,0,0,0
"54966","ENSG00000273882.1",0,0,0,0,0,0,0
"54967","ENSG00000273885.1",0,0,0,0,0,0,0
"54968","ENSG00000273886.1",0,0,0,0,0,0,0
"54969","ENSG00000273888.1",93,2,0,0,0,1,0
"54970","ENSG00000273890.1",0,0,3,0,0,0,3
"54971","ENSG00000273891.1",5,5,14,27,10,10,29
"54972","ENSG00000273892.1",0,0,0,0,0,0,0
"54973","ENSG00000273893.1",75,4,13,17,10,14,10
"54974","ENSG00000273894.1",0,0,0,0,0,0,0
"54975","ENSG00000273895.1",0,0,0,0,0,0,0
"54976","ENSG00000273897.1",224.7,0,117.19,142.03,52.77,74.07,119.07
"54977","ENSG00000273898.1",0,0,0,0,0,0,0
"54978","ENSG00000273899.3",548.14,697.77,459.64,521.2,664.64,1132.97,838.69
"54979","ENSG00000273900.1",0,0,0,0,0,0,0
"54980","ENSG00000273901.1",11,5,18,17,7,16,21
"54981","ENSG00000273902.1",0,0,0,0,0,0,0
"54982","ENSG00000273903.1",2,2,4,5,5,0,7
"54983","ENSG00000273904.1",0,0,0,0,0,0,0
"54984","ENSG00000273906.1",0,0,0,0,0,0,0
"54985","ENSG00000273907.1",1,0,0,0,0,2,0
